,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
77,MZ3556-5,201041,201731,201847,201931,201953,202036,202047,202133,202206,202322,202406,202501,202647,202814,203118,203204,203440,203524,203702,203949,204104,204159,204325,204459,204627,204733,205141,205455,205659,210050,210211,210306,210521,210822,210952,211218,211635
78,MZ3559-5,203140,203324,203440,203535,203556,203629,203651,203723,203808,203916,204011,204137,204336,204447,204733,204853,205119,205217,205406,205626,205710,205753,205932,210101,210222,210306,210717,210927,211123,211435,211540,211719,211851,212042,212158,212325,212642
79,MZ3734-5,204627,204757,204926,204950,205013,205035,205108,205141,205217,205323,205406,205455,205626,205721,210006,210149,210427,210534,210738,211040,211134,211229,211337,211457,211613,211657,212147,212358,212620,212948,213101,213317,213508,213732,213805,213849,214426
80,MX1135-3,,210017,210137,210211,210233,210319,210331,210416,210438,210534,210655,210738,211040,211240,211657,211839,212125,212325,212504,212726,212831,212916,213048,213207,213351,213445,213932,214232,214414,214640,214756,214927,215228,215528,215647,215846,220259
81,MW5964-5,,211145,211229,211314,211337,211424,211446,211540,211613,211732,211829,211935,212158,212358,212653,212809,213035,213134,213351,213627,213722,213816,213953,214110,214244,214402,214819,215022,215214,215346,215505,215730,215919,220205,220321,220417,220711
82,MZ3956-5,212031,212253,212431,212453,212515,212547,212609,212642,212726,212820,212916,213010,213134,213241,213529,213722,214004,214059,214244,214535,214640,214723,214916,215043,215150,215241,215658,220025,220130,220500,220627,220754,220932,221153,221247,221432,221741
83,MZ3978-5,212420,213445,213616,213700,213722,213805,213827,213932,214004,214120,214209,214306,214439,214608,214905,215032,215302,215335,215550,215908,215952,220046,220226,220332,220438,220500,220932,221225,221528,221803,221909,222149,222413,222654,222802,222911,223205
84,MZ3987-6,214524,214640,214819,214854,214916,214949,215011,215054,215127,215241,215335,215418,215614,215709,215941,220142,220417,220534,220743,221037,221142,221247,221432,221625,221814,221836,222317,222826,223005,223302,223423,223603,223855,224035,224225,224332,224620
85,MP6054-2,,215919,220036,220108,220130,220153,220215,220248,220321,220449,220534,220616,220805,220932,221204,221258,221516,221625,221803,222125,222211,222255,222402,222527,222611,222644,223059,223423,223539,223907,224003,224142,224310,224453,224609,224820,225147
86,MZ4072-6,221132,221153,221349,221411,221432,221528,221551,221658,221752,221920,222016,222113,222222,222427,222705,222802,223027,223110,223249,223539,223637,223733,223855,224003,224109,224131,224609,224831,225010,225335,225419,225536,225641,225858,230004,230050,230426
87,MZ3556-6,222113,223806,223930,223952,224024,224058,224109,224152,224225,224332,224416,224526,224714,224854,225136,225219,225441,225525,225725,225942,230039,230135,230257,230426,230604,230648,231107,231424,231614,231756,231913,232118,232307,232529,232655,232825,233242
88,MW5853-6,,222351,222450,222527,222538,222611,222633,222705,222802,222849,222943,223049,223215,223302,223550,223710,223806,223907,224120,224416,224515,224537,224735,224831,224938,225021,225441,225631,225736,230102,230208,230321,230531,230731,230839,231107,231518
89,MZ3559-6,225125,225252,225357,225430,225452,225525,225536,225620,225641,225736,225826,225920,230124,230231,230437,230520,230742,230826,231034,231327,231424,231518,231647,231756,231913,232010,232413,232623,232728,233052,233157,233402,,,,,
90,MZ3734-6,230658,230804,230918,231002,231023,231056,231118,231202,231231,231338,231424,231529,231731,231840,232056,232151,232434,232518,232655,232900,232946,233041,233135,233254,233328,233402,,,,,,,,,,,
91,MX1135-4,232550,232612,232717,232749,232802,232837,232900,232935,232957,233102,233157,233317,,,,,,,,,,,,,,,,,,,,,,,,,
