,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
33,MW2780-4,164923,165843,170201,170458,170721,171346,171728,172353,172836,172931,173122,173251,173430,173749,174138,174346,174430,174547,174641,174842,174948,175156,175737,180000,180044,180246,180500,180606,180628,180959,181032,181150,181236,181415,181605,181925,182127,182350,182458,182615,182648,182927,183021,183212,183340,183556,183915,184106,184235,184500,184853,184958,185638,185912,190124,190335,190836,191025,191248,191404,191531,191638,191817,192419,193418,193929,194047,194309,194617,194807,194914,195114,195316,195636,195744,195956
34,MW2856-3,,172521,172803,173049,173324,173632,174102,174430,174714,174831,175123,175229,175357,175759,180224,180500,180555,180758,180905,181106,181202,181521,183745,184000,184106,184246,184404,184449,184628,184712,184842,184947,185042,185223,185329,185627,185756,185945,190102,190230,190251,190432,190538,191109,191342,191510,191838,192006,192218,192503,192631,192705,193225,193451,193654,193823,193950,194058,194258,194416,194617,194650,194829,195349,195625,195817,195934,200157,200525,200630,200758,200948,201210,201717,201906,202249
35,MW5537-1,,181902,182306,182531,183032,183650,184117,184417,185031,185256,185529,185712,185912,190410,191003,191153,191309,191521,191638,191900,192018,192357,192727,193000,193055,193333,193502,193557,193823,193918,194036,194142,194237,194416,194617,194852,195041,195316,195433,195550,195647,195817,195923,200041,200313,200514,200820,200937,201127,201411,201601,201655,202205,202354,202533,202650,202808,202913,203041,203136,203243,203338,203507,203955,204246,204459,204626,204744,204912,205051,205156,205335,205502,205703,205758,205915
36,MS2259-3,,,,,,,,,,,,,,,,,,,,,,,,,,183351,183511,183712,183841,184000,184055,184212,184257,184428,184628,184958,185148,185540,185616,185712,185756,185945,190102,190240,190357,,190920,191058,191237,191510,191649,191733,,192631,192833,192949,193237,193345,193535,193631,193801,193856,194025,194617,194914,195528,195636,195850,200135,200357,200546,200758,,201444,201506,201845
37,MS1935-4,,185638,185934,190230,190454,190941,191404,191849,192229,192441,192631,192833,193022,193429,193823,194047,194142,194416,,194757,194840,195103,195327,195539,195614,195806,195901,195945,200335,200430,200535,200724,200809,200937,201054,201422,201623,201812,201906,202003,202047,202216,202310,202724,202903,203019,203349,203434,203551,203828,203944,204029,204448,204648,204817,204945,205051,205135,205302,205408,205535,205630,205736,210225,210457,210741,210940,211203,211236,211342,211531,211637,211732,212006,212122,212311
38,MW3053-4,,,,,,,,,,,,,,,,,,,,,,,,,,191911,192018,192112,192334,192430,192525,192620,192705,192811,192938,193345,193502,193726,193834,194003,194047,194226,194342,194617,194818,194935,195305,195455,195636,195901,200041,200135,200820,201116,201305,201455,201644,201750,201939,202108,202216,202321,202501,202946,203254,203603,203732,203849,204040,204221,204330,204448,204615,204828,205146,205357
39,MS2365-4,192833,193055,193322,193610,193939,194353,194438,194617,194852,195019,195221,195338,195506,195850,200251,200430,200535,200703,200758,200948,201032,201243,201528,201728,201812,202003,202132,202216,202310,202354,202439,202555,202628,202724,202841,203221,203412,,203657,203805,203839,204018,204124,204426,204626,204648,204934,205029,205240,205514,205652,205736,210212,210403,210613,210719,210835,210930,211140,211236,211403,211436,211604,212100,212344,212533,212711,212807,212913,213029,213124,213230,213419,213726,213832,214104
40,MS1695-5,,,,,,,,,,,,,,,,,,,,,,,,203316,203349,203529,203635,203732,203849,203944,204102,204246,204308,204415,204531,204934,205146,205335,205441,205535,205619,205758,205904,210330,210541,210719,211013,211203,211320,211531,211732,211805,212311,212734,202606,202701,213219,213335,213503,213621,213759,213905,214043,214611,214907,215151,215257,215445,215637,215827,215933,220101,220218,220444,220624,220752
41,MW2780-5,,203507,203657,203901,204159,204553,204659,204806,205135,205240,205419,205524,205652,210044,210436,210613,210708,210824,210919,211057,211203,211353,211553,211805,211838,212006,212122,212205,212344,212438,212606,212744,212840,212957,213113,213503,213705,213937,214053,214243,214400,214527,214633,214918,215034,215107,215445,215553,215754,215849,220017,220101,220552,220730,220908,221025,221119,221203,221320,221509,221710,221805,222005,222546,222852,223136,223315,223443,223612,223823,223918,224142,224321,224616,224744,224911
42,MS2259-4,205809,210150,,210457,210613,210919,211130,211331,211615,211711,211911,212038,212238,212616,213007,213146,213230,213408,213514,213621,213715,213937,214159,214400,214505,214706,214823,215001,215118,215213,215308,215413,215445,215604,215721,220050,220229,220422,220455,220552,220635,220825,,221046,221342,,221721,221838,222027,222300,222439,222513,223030,223315,223516,223634,223751,223856,224036,224120,224321,224354,224532,225039,225345,225610,,225821,230010,230159,230340,230446,230647,230722,230849,231017
43,MW2856-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212049,212133,212216,212355,212500,212606,212734,213040,213241,213441,213547,213715,213759,213926,214043,214505,214644,214811,215118,215257,215424,215648,215805,215900,211553,220624,220814,220941,221035,221130,221309,221425,221520,221615,221816,222355,222713,222936,223125,223304,223432,223612,223740,223907,224025,224310,224510,224722
44,MS1935-5,,214221,214400,214549,214706,214918,215151,215340,215659,215805,215955,220101,220254,220614,221014,221152,221236,221404,221459,221637,221721,221921,222238,222450,222546,222725,222903,222958,223136,223158,223315,223443,223527,223707,223845,224153,224321,224510,224616,224733,224817,224933,225039,225145,225301,225503,225810,225915,225948,230234,230329,230424,230827,231028,231220,231337,231454,231529,231659,231755,231851,231940,232058,232610,232832,233108,233302,233424,233540,,,,,,,
45,MS2365-5,215626,215838,220134,220254,220422,220657,220814,220930,221214,221309,221448,221531,221659,222038,222416,222535,222607,222713,222841,222947,223020,223209,223421,223634,223718,223856,224014,224047,224215,224310,224343,224437,224510,224627,224733,225039,225217,225356,225503,225621,225654,225748,225854,230148,230256,230402,230733,230827,231050,231158,231242,231326,231851,232047,232238,232334,232429,232514,232621,232726,232821,232906,233023,233529,,,,,,,,,,,,
46,MS1695-6,,222227,222427,222618,222758,223147,223516,223813,224153,224310,224532,224711,224900,225228,225632,225759,225832,230010,230053,230234,230318,230520,230743,230955,231028,231209,231348,231432,231615,231711,231805,231940,232025,232152,232312,232715,232821,233001,233046,233154,233239,233424,233540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,MW2780-6,224933,,,,,230245,230351,230541,,,,231242,231253,231551,231940,232047,232108,232203,232250,232429,232503,232653,232855,233035,233108,233239,233338,233413,233540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,MW2856-5,230053,230234,230458,230709,230827,231136,231348,231505,231733,231805,231929,232014,232119,232440,232821,232939,233001,233108,233218,233351,233413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,MS2259-5,,233132,233250,233402,233603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
