,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654/2,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
83,MZ3956-5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,-1,-1
84,MX1084-5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,-1,-1
85,MX1197-5,-1,-1,1,-1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,3,2,1,1,1,-1,-1
86,MW5936-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,2,1,2,1,1,-1,-1
87,MX1105-5,-1,-1,-1,-1,-1,-1,-1,,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,2,1,2,1,1,-1,-1
88,MZ3556-5,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,3,1,1,1,1,-1,-1
89,MZ3734-5,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,4,3,2,2,1,2,1,-1,-1
90,MZ3825-5,-1,-1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,-1,-1
91,MZ4228-5,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,-1,5,3,1,1,1,1,1,-1,-1
92,MW5853-5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,,,,,
93,MZ3978-5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,,,,,
94,MW5936-3,-1,-1,1,1,1,1,-1,1,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,
95,MX1105-6,-1,-1,1,-1,-1,-1,1,1,-1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
96,MX1084-6,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
97,MX1197-6,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
98,MZ3556-6,-1,1,1,-1,-1,-1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
