,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
70,AA7393-2,-1,1,2,1,2,4,4,2,4,4,1,1,1,1,5,2,1,1,1,1,1,2,2,1,1,-1,-1,1,1,1,1,1,1,1,1,4,-1,1,1,1,1,1,4,4,-1,2,3,2,4,-1
71,MX4365-4,-1,1,2,1,3,5,5,2,3,3,1,1,1,1,5,3,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,5,-1,1,1,1,3,2,1,1,1,1,1,4,5,1,1,3,2,-1,-1
72,MX4383-4,-1,2,2,1,2,5,5,1,3,4,1,1,1,1,4,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,-1,1,1,2,3,2,1,1,1,1,1,4,4,-1,2,2,1,4,-1
73,MX4458-4,-1,1,3,1,1,5,5,1,3,4,1,2,1,1,1,2,2,1,1,1,1,1,1,,1,-1,-1,1,1,1,4,-1,1,1,2,3,2,1,1,1,1,1,4,4,-1,-1,3,1,2,-1
74,AA7920-2,-1,1,1,2,3,5,5,1,3,4,1,1,1,1,5,1,2,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,4,-1,1,1,1,1,1,5,4,4,4,3,1,2,-1
75,MX4551-2,-1,1,1,3,3,5,5,2,4,3,1,1,1,1,5,2,1,1,1,1,1,1,1,1,1,-1,1,1,1,3,1,1,2,1,1,3,-1,1,1,1,1,1,2,4,-1,1,3,1,2,-1
76,AA7562-4,,2,1,2,4,5,4,1,4,4,1,1,1,1,5,2,1,1,1,1,1,1,1,1,1,-1,5,1,1,1,1,1,2,2,-1,3,-1,1,1,1,1,1,4,2,4,4,3,1,1,-1
77,MX4598-4,,1,2,2,3,4,4,2,3,4,1,1,1,1,5,1,1,1,1,1,1,1,1,,1,-1,-1,-1,1,-1,1,1,1,1,1,3,-1,1,1,1,1,1,2,2,-1,3,4,1,1,-1
78,MX4614-4,,1,2,3,4,3,4,2,3,4,1,1,1,1,4,1,1,1,1,1,1,1,2,1,-1,-1,1,2,1,-1,1,1,1,1,1,3,-1,1,1,1,1,1,2,2,-1,3,3,1,1,-1
79,AA6738-3,-1,1,1,2,3,4,4,3,4,5,1,1,1,1,5,3,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,,2,1,1,4,-1,1,1,1,1,3,3,,5,3,3,1,1,-1
80,AA7712-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,-1
81,AA7450-3,-1,2,1,3,4,4,2,4,4,5,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,3,-1,1,4,1,1,2,2,,5,1,3,1,1,-1
82,MX4021-5,,2,1,3,3,3,2,3,4,5,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,3,-1,1,4,1,1,2,2,4,5,1,3,1,1,-1
83,AA7559-3,,3,1,2,4,4,3,4,,5,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,,4,3,3,1,2,-1
84,MX4159-5,-1,1,1,-1,3,3,4,3,2,4,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,3,3,-1,3,3,1,2,-1
85,AA7393-3,-1,1,1,3,3,3,3,2,4,4,1,1,1,1,5,2,1,1,1,1,1,1,1,1,1,-1,2,1,1,1,1,1,1,2,2,3,1,2,2,1,1,1,4,3,5,3,4,1,2,-1
86,MX4365-5,,1,2,1,3,3,1,3,4,4,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,2,3,2,1,1,4,1,1,1,4,4,-1,2,4,1,2,-1
87,MX4458-5,,1,2,2,3,2,3,1,3,4,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,2,3,2,2,1,3,1,1,1,4,4,-1,-1,2,1,1,-1
88,AA7920-3,-1,2,1,1,2,4,2,1,4,4,1,1,1,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,2,1,1,1,1,1,4,4,4,4,2,1,1,-1
89,AA7731-4,-1,1,1,2,3,3,1,3,4,5,1,3,1,3,5,3,3,1,1,1,1,1,1,1,1,-1,1,1,1,,,1,1,2,3,3,1,1,1,1,1,1,3,,3,1,3,1,1,-1
90,MX4551-3,-1,1,1,1,4,4,2,3,3,4,1,4,1,1,4,3,4,1,1,1,1,1,1,1,1,-1,-1,1,1,,1,1,1,2,3,1,1,1,1,1,1,1,3,2,-1,1,2,1,1,-1
91,MX4383-5,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,-1,2,1,1,1,5,1,1,2,2,3,1,1,2,1,1,1,3,4,-1,2,4,1,4,-1
92,AA7562-5,,2,1,2,4,3,2,4,5,4,1,1,1,2,4,3,3,1,1,1,1,1,2,1,1,-1,1,1,1,1,1,1,1,2,2,3,2,1,2,1,1,1,2,1,-1,1,3,1,1,-1
93,MX4614-5,-1,1,2,2,3,4,3,2,5,5,1,2,1,2,5,3,3,1,1,1,1,1,2,,1,-1,-1,2,1,1,1,1,1,1,3,4,2,1,1,1,1,1,2,1,-1,2,2,1,1,-1
94,MX4598-5,,1,2,3,3,3,2,3,3,5,1,1,1,2,5,3,3,1,1,1,1,1,1,,1,1,-1,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,2,2,-1,2,2,1,1,-1
95,AA7712-6,,2,1,3,4,3,2,1,3,4,1,1,1,3,4,1,2,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,3,1,1,1,1,1,1,2,1,-1,1,2,1,1,-1
96,AA7450-4,,1,2,3,4,3,2,2,4,4,1,1,1,1,4,2,2,1,1,1,1,1,1,1,1,-1,1,1,1,1,4,1,1,1,1,2,1,1,1,1,1,1,3,3,2,1,3,1,1,-1
97,AA7559-4,-1,2,1,3,3,3,2,1,3,4,,1,1,1,5,2,1,1,1,1,1,1,1,-1,-1,-1,-1,1,,1,1,,1,1,1,1,2,1,1,1,1,1,1,2,-1,1,2,1,1,-1
98,AA7393-4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
